Une ordure fait toujours des parallèles d’Ordure.	1 1 1 0 0 1 1 0 1 1
Pour tous : Peine de prison à purger dans le pays d’origine, point !	1 1 1 1 1 1 0 1 1 1
sur le net , on suit l avalanche d attaques des muzzs decerebres et degeneres contre policiers et pompiers . a un moment ou a un autre , il y aura un ou des morts parmi eux … et comme d habitude , le gouvernement nous dira qu il faut apprendre a vivre avec ! on en arrive a souhaiter un soulevement general des cpf dans les banlieues pour obliger le pouvoir a reprimer violemment et a les calmer ou les REBLEDER !	1 1 1 1 1 1 1 1 1 1
de quel droit ce ministre se permet d'imposer aux gens l'arrivée de "millions et de millions" de migrants sans leur demander leur avis?pourquoi n'ose-t-il pas faire un référendum "voulez-vous plus de migrants et conserver vos niveaux de confort ou moins de migrants et de confort"?et pourquoi la population ne devrait pas diminuer alors que c'est nécessaire pour "moins polluer"?	1 1 1 1 1 1 1 1 1 0
A voir la confusion dramatique de votre pensée, effectivement votre livre produit des marionnettes. Malheureusement, ce sont des marionnettes criminelles.	0 0 0 0 1 1 1 1 1 1
Nous monter les uns contre les autres est le premier objectif des terroristes. La quinzaine de commentaires ci dessous le prouve une fois de plus.	1 1 0 1 0 0 1 0 0 0
ahahah, l'Urssaf, ces ayatollah hors du temps, ça me fait bien rigoler. Ces contrôleurs Urssaf et ceux de l'inspection du travail ont besoin pour des raisons assez proches de mépris total des "patrons" d'avoir une grosse grosse mise à jour. Les uns pour absence totale de prise en compte de la situation / bonne ou mauvaise foi de l'employeur dans le respect de règles absurdes, les autres pour être de la gauche la plus crasse n'hésitant pas à insulter les représentants des donneurs d'ordre au bout de 3 min lors d'un contrôle (vécu en direct sur un chantier). 	1 1 1 1 1 1 1 1 1 1
"l’islam encourage les retours post-mortem vers les terres d’origine" Il ferait mieux d'encourager à ne pas quitter sa terre d'origine !	0 0 0 0 1 1 0 0 0 1
Mais que propose tu ? Anti gauchiste	1 1 0 1 0 1 0 1 0 1
Ce n'est pas en reculant et en abandonnant le terrain que l'on mettra fin aux émeutes dans les quartiers musulmans . Au contraire , les reculades du pouvoir et de sa police les excitent et les encouragent .Chez eux , dans leur pays d'origine, c'est la dictature ou le chaos. Ces immigrés reproduisent en France cette alternative . La force juste et implacable de la Loi pourra seule y mettre fin.	1 1 1 1 1 1 1 1 1 1
12 ans !!!!!j ai honte de cette justicej espere qu ils vont au moins etre expulsés	0 0 1 0 1 1 1 1 1 0
L'Union Européenne ne mériterait plus son nom si elle ne protège pas ses frontières....	1 1 1 1 1 1 1 1 0 0
SORTONS TOUS……..	0 0 0 0 0 0 0 1 1 0
C’est pour étudier en Fac de droit ? On est vraiment dans la merde là ! Vu la position des juges en ce moment qui relaxent les malades mentaux !	0 0 0 0 1 1 0 0 1 1
